'Tabelle 2.'1-1 b':';;;;;;;;;Indikatoren 2.1/2.5;;;;Metadaten;Metadaten;;;;;;;;;
"Durchschnittliche Bevölkerung in Berlin 1990 - 2011
nach Geschlecht, Ausländeranteil und Bezirken";;;;;;;;;;;;;Zur GSI-Suchanfrage;;;;;;;;;;
;;;;;;;;;;;;;Weitere Gesundheitsdaten im Internet;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Bezirk / Geschlecht / Staatsangehörigkeit / Maßeinheit;;Durchschnittliche Bevölkerung;;;;;;;;;;Durchschnittliche Bevölkerung;;;;;;;;;;;
;;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Berlin;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;373.465;367.847;364.541;366.038;360.810;355.944;352.170;349.210;346.987;343.460;339.373;334.509;329.058;324.229;319.862;314.442;311.309;309.662;307.234;304.575;302.807;301.840
;%1);10,7;10,7;10,6;10,7;10,6;10,5;10,4;10,3;10,2;10,1;10,0;9,9;9,7;9,5;9,3;9,1;9,0;8,9;8,9;8,8;8,8;8,8
weiblich;abs.;189.262;186.456;184.641;184.927;182.109;179.469;177.702;176.625;175.662;174.024;171.956;169.579;166.792;164.522;162.837;160.902;160.197;160.538;160.411;160.523;160.963;161.489
;%2);50,7;50,7;50,7;50,5;50,5;50,4;50,5;50,6;50,6;50,7;50,7;50,7;50,7;50,7;50,9;51,2;51,5;51,8;52,2;52,7;53,2;53,5
männlich;abs.;184.203;181.391;179.900;181.117;178.702;176.459;174.456;172.588;171.325;169.438;167.423;164.974;162.266;159.707;157.025;153.540;151.112;149.124;146.823;144.052;141.844;140.351
;%2);49,3;49,3;49,3;49,5;49,5;49,6;49,5;49,4;49,4;49,3;49,3;49,3;49,3;49,3;49,1;48,8;48,5;48,2;47,8;47,3;46,8;46,5
ausländisch;abs.;25.891;23.469;23.743;28.323;26.822;25.161;23.242;21.566;20.666;19.760;19.259;18.995;18.010;17.567;17.566;16.127;14.047;11.885;9.617;6.463;4.420;3.151
;%2);6,9;6,4;6,5;7,7;7,4;7,1;6,6;6,2;6,0;5,8;5,7;5,7;5,5;5,4;5,5;5,1;4,5;3,8;3,1;2,1;1,5;1,0
;;;;;;;;;;;;;;;;;;;;;;;
Charlottenburg-Wilmersdorf;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;321.572;320.113;318.997;317.384;315.916;315.239;315.009;315.020;315.514;315.932;316.133;316.531;318.567;319.614;320.854;323.732;325.672;328.488;329.697;330.622;331.835;331.050
;%1);9,2;9,3;9,3;9,3;9,3;9,3;9,3;9,3;9,3;9,3;9,3;9,4;9,4;9,4;9,3;9,3;9,4;9,4;9,5;9,6;9,6;9,7
weiblich;abs.;169.292;168.575;168.038;167.356;166.782;166.672;166.812;167.194;167.772;168.132;168.224;168.561;169.845;170.794;171.653;173.367;174.936;176.560;177.317;178.171;178.784;178.489
;%2);52,6;52,7;52,7;52,7;52,8;52,9;53,0;53,1;53,2;53,2;53,2;53,3;53,3;53,4;53,5;53,6;53,7;53,7;53,8;53,9;53,9;53,9
männlich;abs.;152.280;151.538;150.959;150.021;149.136;148.559;148.203;147.837;147.742;147.803;147.931;147.967;148.722;148.820;149.201;150.365;150.736;151.928;152.380;152.451;153.051;152.561
;%2);47,4;47,3;47,3;47,3;47,2;47,1;47,0;46,9;46,8;46,8;46,8;46,7;46,7;46,6;46,5;46,4;46,3;46,3;46,2;46,1;46,1;46,1
ausländisch;abs.;58.983;58.438;58.084;57.013;55.775;54.809;53.657;52.829;52.332;51.422;50.330;49.156;48.822;48.305;47.855;47.846;46.946;47.254;45.828;43.199;41.156;38.761
;%2);18,3;18,3;18,2;18,0;17,7;17,4;17,0;16,8;16,6;16,3;15,9;15,5;15,3;15,1;14,9;14,8;14,4;14,4;13,9;13,1;12,4;11,7
;;;;;;;;;;;;;;;;;;;;;;;
Spandau;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;227.570;224.672;223.857;223.648;224.035;224.619;225.422;225.804;226.139;225.587;224.587;223.483;223.625;224.510;225.071;224.773;223.698;223.237;223.131;223.300;222.634;218.376
;%1);6,5;6,5;6,5;6,5;6,6;6,6;6,6;6,7;6,7;6,7;6,6;6,6;6,6;6,6;6,5;6,5;6,4;6,4;6,4;6,5;6,5;6,4
weiblich;abs.;116.728;115.505;115.240;115.258;115.544;115.875;116.473;116.862;117.206;117.010;116.523;115.979;115.847;116.492;116.762;116.836;116.732;116.748;116.659;116.752;116.507;114.361
;%2);51,3;51,4;51,5;51,5;51,6;51,6;51,7;51,8;51,8;51,9;51,9;51,9;51,8;51,9;51,9;52,0;52,2;52,3;52,3;52,3;52,3;52,4
männlich;abs.;110.841;109.167;108.618;108.385;108.497;108.747;108.946;108.941;108.933;108.580;108.078;107.492;107.778;108.018;108.309;107.937;106.966;106.489;106.472;106.548;106.127;104.015
;%2);48,7;48,6;48,5;48,5;48,4;48,4;48,3;48,2;48,2;48,1;48,1;48,1;48,2;48,1;48,1;48,0;47,8;47,7;47,7;47,7;47,7;47,6
ausländisch;abs.;28.804;27.204;27.262;27.357;27.663;28.146;28.013;27.778;27.777;27.768;27.759;27.723;28.815;29.403;30.225;30.120;29.244;28.675;28.552;27.724;26.098;24.604
;%2);12,7;12,1;12,2;12,2;12,3;12,5;12,4;12,3;12,3;12,3;12,4;12,4;12,9;13,1;13,4;13,4;13,1;12,8;12,8;12,4;11,7;11,3
;;;;;;;;;;;;;;;;;;;;;;;
Steglitz-Zehlendorf;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;296.664;294.569;292.757;290.896;289.039;288.467;288.609;288.471;288.372;288.318;288.389;288.168;288.511;289.682;291.121;291.908;291.169;290.814;289.738;288.385;288.617;288.584
;%1);8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,4;8,4;8,4;8,3;8,3;8,4;8,4
weiblich;abs.;158.629;157.893;157.211;156.477;155.657;155.368;155.484;155.547;155.787;156.015;156.131;156.216;156.303;156.997;157.678;158.265;158.211;158.226;157.910;157.328;157.326;157.294
