'Tabelle 2.'1-1 a':';;;;;;;;;Indikatoren 2.1/2.5;;;;Metadaten;Metadaten;;;;;;;;;;
"Bevölkerung in Berlin 1990 - 2011 (Stand: 31.12.)
nach Geschlecht, Ausländeranteil und Bezirken";;;;;;;;;;;;;Zur GSI-Suchanfrage;;;;;;;;;;;
;;;;;;;;;;;;;Weitere Gesundheitsdaten im Internet;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Bezirk / Geschlecht / Staatsangehörigkeit / Maßeinheit;;Bevölkerung am 31.12.;;;;;;;;;;Bevölkerung am 31.12.;;;;;;;;;;;;
;;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Berlin;;3.501.872;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Pankow (bis 2000: Prenzlauer Berg, Weißensee, Pankow);;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;375.938;370.938;365.697;366.899;363.601;358.210;353.910;350.486;347.743;345.606;341.569;336.931;331.800;326.294;321.636;316.567;312.132;310.265;308.401;305.784;303.342;302.327;
;%1);10,7;10,7;10,6;10,7;10,6;10,5;10,4;10,3;10,3;10,2;10,1;10,0;9,8;9,6;9,4;9,2;9,0;8,9;8,9;8,8;8,8;8,8;
weiblich;abs.;190.551;187.939;185.319;185.489;183.578;180.701;178.438;177.024;176.045;175.187;172.934;170.900;168.156;165.503;163.491;161.669;160.326;160.343;160.393;160.428;160.631;161.394;
;%2);50,7;50,7;50,7;50,6;50,5;50,4;50,4;50,5;50,6;50,7;50,6;50,7;50,7;50,7;50,8;51,1;51,4;51,7;52,0;52,5;53,0;53,4;
männlich;abs.;185.387;182.999;180.378;181.410;180.023;177.509;175.472;173.462;171.698;170.419;168.635;166.031;163.644;160.791;158.145;154.898;151.806;149.922;148.008;145.356;142.711;140.933;
;%2);49,3;49,3;49,3;49,4;49,5;49,6;49,6;49,5;49,4;49,3;49,4;49,3;49,3;49,3;49,2;48,9;48,6;48,3;48,0;47,5;47,0;46,6;
ausländisch;abs.;27.354;24.623;22.987;27.625;27.780;26.208;24.259;22.373;21.028;20.252;19.782;18.953;18.624;17.600;17.560;16.824;15.056;12.739;10.852;7.999;5.311;3.685;
;%2);7,3;6,6;6,3;7,5;7,6;7,3;6,9;6,4;6,0;5,9;5,8;5,6;5,6;5,4;5,5;5,3;4,8;4,1;3,5;2,6;1,8;1,2;
;;;;;;;;;;;;;;;;;;;;;;;;
Charlottenburg-Wilmersdorf;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;323.359;320.458;320.087;318.208;316.887;315.557;315.080;314.712;315.262;315.537;316.106;316.203;317.561;319.069;319.376;322.313;324.792;326.424;329.646;330.190;331.378;332.046;
;%1);9,2;9,3;9,3;9,3;9,3;9,3;9,3;9,3;9,3;9,3;9,3;9,3;9,4;9,4;9,3;9,3;9,4;9,4;9,5;9,5;9,6;9,7;
weiblich;abs.;170.117;168.912;168.551;167.717;167.254;166.665;166.671;166.802;167.497;167.944;168.171;168.378;169.176;170.335;170.870;172.488;174.188;175.442;177.218;177.826;178.670;178.799;
;%2);52,6;52,7;52,7;52,7;52,8;52,8;52,9;53,0;53,1;53,2;53,2;53,2;53,3;53,4;53,5;53,5;53,6;53,7;53,8;53,9;53,9;53,8;
männlich;abs.;153.242;151.546;151.536;150.491;149.633;148.892;148.409;147.910;147.765;147.593;147.935;147.825;148.385;148.734;148.506;149.825;150.604;150.982;152.428;152.364;152.708;153.247;
;%2);47,4;47,3;47,3;47,3;47,2;47,2;47,1;47,0;46,9;46,8;46,8;46,8;46,7;46,6;46,5;46,5;46,4;46,3;46,2;46,1;46,1;46,2;
ausländisch;abs.;60.053;58.307;58.840;57.615;56.548;55.375;54.435;53.197;52.749;51.997;50.969;49.826;49.073;48.571;47.937;47.852;47.438;46.755;47.231;44.712;42.176;40.394;
;%2);18,6;18,2;18,4;18,1;17,8;17,5;17,3;16,9;16,7;16,5;16,1;15,8;15,5;15,2;15,0;14,8;14,6;14,3;14,3;13,5;12,7;12,2;
;;;;;;;;;;;;;;;;;;;;;;;;
Spandau;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;228.919;226.240;223.724;223.813;223.652;224.304;225.042;225.681;226.059;226.028;225.018;223.898;222.982;223.775;224.812;224.874;224.423;223.198;223.120;223.852;223.256;222.527;
;%1);6,5;6,5;6,5;6,5;6,5;6,6;6,6;6,7;6,7;6,7;6,6;6,6;6,6;6,6;6,6;6,5;6,5;6,4;6,4;6,5;6,5;6,5;
weiblich;abs.;117.337;116.155;115.145;115.232;115.367;115.660;116.131;116.759;117.096;117.202;116.760;116.124;115.654;115.999;116.705;116.713;116.932;116.682;116.718;116.950;116.821;116.404;
;%2);51,3;51,3;51,5;51,5;51,6;51,6;51,6;51,7;51,8;51,9;51,9;51,9;51,9;51,8;51,9;51,9;52,1;52,3;52,3;52,2;52,3;52,3;
männlich;abs.;111.582;110.085;108.579;108.581;108.285;108.644;108.911;108.922;108.963;108.826;108.258;107.774;107.328;107.776;108.107;108.161;107.491;106.516;106.402;106.902;106.435;106.123;
;%2);48,7;48,7;48,5;48,5;48,4;48,4;48,4;48,3;48,2;48,1;48,1;48,1;48,1;48,2;48,1;48,1;47,9;47,7;47,7;47,8;47,7;47,7;
ausländisch;abs.;29.602;28.037;26.732;27.472;27.320;28.057;28.361;27.877;27.834;27.825;27.768;27.680;27.988;29.073;29.723;30.365;29.735;28.718;28.603;28.962;26.933;25.440;
;%2);12,9;12,4;11,9;12,3;12,2;12,5;12,6;12,4;12,3;12,3;12,3;12,4;12,6;13,0;13,2;13,5;13,2;12,9;12,8;12,9;12,1;11,4;
;;;;;;;;;;;;;;;;;;;;;;;;
Steglitz-Zehlendorf;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;297.849;295.737;293.725;291.871;290.305;288.575;288.670;288.521;288.420;288.371;288.569;288.255;288.343;289.088;290.311;292.034;291.524;290.751;290.422;289.011;288.319;288.644;
;%1);8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,5;8,4;8,4;8,4;8,4;8,3;8,4;8,4;
weiblich;abs.;159.176;158.353;157.618;156.938;156.324;155.438;155.490;155.539;155.683;155.931;156.167;156.242;156.258;156.680;157.348;158.164;158.296;158.067;158.212;157.614;157.362;157.175;
;%2);53,4;53,5;53,7;53,8;53,8;53,9;53,9;53,9;54,0;54,1;54,1;54,2;54,2;54,2;54,2;54,2;54,3;54,4;54,5;54,5;54,6;54,5;
männlich;abs.;138.673;137.384;136.107;134.933;133.981;133.137;133.180;132.982;132.737;132.440;132.402;132.013;132.085;132.408;132.963;133.870;133.228;132.684;132.210;131.397;130.957;131.469;
;%2);46,6;46,5;46,3;46,2;46,2;46,1;46,1;46,1;46,0;45,9;45,9;45,8;45,8;45,8;45,8;45,8;45,7;45,6;45,5;45,5;45,4;45,5;
ausländisch;abs.;31.641;30.557;30.194;29.628;28.839;28.072;27.775;27.072;26.530;26.062;25.771;25.845;25.651;25.956;26.040;26.356;26.014;25.098;24.128;22.412;20.607;19.557;
;%2);10,6;10,3;10,3;10,2;9,9;9,7;9,6;9,4;9,2;9,0;8,9;9,0;8,9;9,0;9,0;9,0;8,9;8,6;8,3;7,8;7,1;6,8;
;;;;;;;;;;;;;;;;;;;;;;;;
Tempelhof-Schöneberg;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
insgesamt;abs.;336.793;336.144;334.993;333.110;331.790;332.066;333.163;334.380;335.827;336.950;338.171;338.143;338.128;338.494;340.794;344.202;345.370;346.531;347.352;346.346;345.215;344.064;
;%1);9,6;9,7;9,7;9,7;9,7;9,8;9,8;9,9;9,9;9,9;10,0;10,0;10,0;10,0;9,9;10,0;9,9;10,0;10,0;10,0;10,0;10,0;
weiblich;abs.;174.035;173.643;173.467;172.613;171.967;172.292;173.322;174.254;175.088;175.934;176.819;177.114;177.258;177.891;179.164;181.245;182.247;183.003;183.731;183.584;183.162;182.532;
;%2);51,7;51,7;51,8;51,8;51,8;51,9;52,0;52,1;52,1;52,2;52,3;52,4;52,4;52,6;52,6;52,7;52,8;52,8;52,9;53,0;53,1;53,1;
männlich;abs.;162.758;162.501;161.526;160.497;159.823;159.774;159.841;160.126;160.739;161.016;161.352;161.029;160.870;160.603;161.630;162.957;163.123;163.528;163.621;162.762;162.053;161.532;
;%2);48,3;48,3;48,2;48,2;48,2;48,1;48,0;47,9;47,9;47,8;47,7;47,6;47,6;47,4;47,4;47,3;47,2;47,2;47,1;47,0;46,9;46,9;
